compressor,threshold,perplexity,summary_frac,tokens_per_sec,token_1_ppl,token_2_ppl,token_3_ppl,token_4_ppl,token_5_ppl,token_6_ppl,token_7_ppl,token_8_ppl,token_9_ppl,token_10_ppl,token_11_ppl,token_12_ppl,token_13_ppl,token_14_ppl,token_15_ppl,token_16_ppl,token_17_ppl,token_18_ppl,token_19_ppl,token_20_ppl,token_21_ppl,token_22_ppl,token_23_ppl,token_24_ppl,token_25_ppl,token_26_ppl,token_27_ppl,token_28_ppl,token_29_ppl,token_30_ppl,token_31_ppl,token_32_ppl,token_33_ppl,token_34_ppl,token_35_ppl,token_36_ppl,token_37_ppl,token_38_ppl,token_39_ppl,token_40_ppl,token_41_ppl,token_42_ppl,token_43_ppl,token_44_ppl,token_45_ppl,token_46_ppl,token_47_ppl,token_48_ppl,token_49_ppl,token_50_ppl,token_51_ppl,token_52_ppl,token_53_ppl,token_54_ppl,token_55_ppl,token_56_ppl,token_57_ppl,token_58_ppl,token_59_ppl,token_60_ppl,token_61_ppl,token_62_ppl,token_63_ppl,token_64_ppl,token_65_ppl,token_66_ppl,token_67_ppl,token_68_ppl,token_69_ppl,token_70_ppl,token_71_ppl,token_72_ppl,token_73_ppl,token_74_ppl,token_75_ppl,token_76_ppl,token_77_ppl,token_78_ppl,token_79_ppl,token_80_ppl,token_81_ppl,token_82_ppl,token_83_ppl,token_84_ppl,token_85_ppl,token_86_ppl,token_87_ppl,token_88_ppl,token_89_ppl,token_90_ppl,token_91_ppl,token_92_ppl,token_93_ppl,token_94_ppl,token_95_ppl,token_96_ppl,token_97_ppl,token_98_ppl,token_99_ppl,token_100_ppl,token_101_ppl,token_102_ppl,token_103_ppl,token_104_ppl,token_105_ppl,token_106_ppl,token_107_ppl,token_108_ppl,token_109_ppl,token_110_ppl,token_111_ppl,token_112_ppl,token_113_ppl,token_114_ppl,token_115_ppl,token_116_ppl,token_117_ppl,token_118_ppl,token_119_ppl,token_120_ppl,token_121_ppl,token_122_ppl,token_123_ppl,token_124_ppl,token_125_ppl,token_126_ppl,token_127_ppl,token_128_ppl
mean,0.05,1698.0,0.6063701923076923,16.15735895472464,5.5703125,16.203125,318.0,276.25,278.25,202.125,294.0,206.875,223.625,270.75,252.5,373.0,432.75,564.5,620.0,700.0,555.5,613.0,705.5,818.0,649.5,857.5,1333.0,1002.5,884.5,831.0,1022.0,956.5,1010.5,1067.0,1088.0,960.0,1177.0,1195.0,1257.0,1381.0,1297.0,1425.0,1571.0,1436.0,1365.0,1408.0,1430.0,1328.0,1414.0,1470.0,1344.0,1414.0,1447.0,1338.0,1441.0,1653.0,1822.0,1773.0,1725.0,1666.0,1559.0,1577.0,1553.0,1430.0,1458.0,1692.0,1829.0,1759.0,1685.0,1627.0,1692.0,1602.0,1583.0,1577.0,1596.0,1608.0,1608.0,1517.0,1493.0,1523.0,1659.0,1559.0,1621.0,1685.0,1589.0,1523.0,1534.0,1523.0,1464.0,1493.0,1481.0,1499.0,1436.0,1470.0,1441.0,1505.0,1547.0,1577.0,1481.0,1523.0,1559.0,1476.0,1419.0,1425.0,1464.0,1436.0,1517.0,1559.0,1633.0,1547.0,1559.0,1621.0,1596.0,1583.0,1614.0,1608.0,1621.0,1559.0,1596.0,1608.0,1627.0,1583.0,1627.0,1698.0,1719.0,1698.0,1698.0,1759.0,1732.0,1725.0,1746.0,1698.0
mean,0.1,2250.0,0.9158653846153846,16.65673366192361,6.203125,12.2265625,414.5,713.5,639.5,403.5,627.5,382.0,392.5,468.0,434.5,675.5,725.0,979.0,1167.0,1397.0,1046.0,1084.0,1243.0,1596.0,1272.0,1602.0,2620.0,1955.0,1705.0,1505.0,1801.0,1679.0,1815.0,1940.0,2017.0,1732.0,2180.0,2286.0,2386.0,2472.0,2294.0,2462.0,2640.0,2424.0,2276.0,2340.0,2294.0,2082.0,2206.0,2268.0,2064.0,2172.0,2198.0,2048.0,2156.0,2404.0,2580.0,2520.0,2452.0,2570.0,2348.0,2424.0,2404.0,2206.0,2258.0,2682.0,2946.0,2812.0,2694.0,2580.0,2768.0,2570.0,2560.0,2580.0,2630.0,2672.0,2652.0,2480.0,2424.0,2442.0,2620.0,2462.0,2510.0,2600.0,2404.0,2276.0,2258.0,2250.0,2148.0,2156.0,2172.0,2206.0,2106.0,2114.0,2048.0,2114.0,2148.0,2164.0,2033.0,2072.0,2098.0,2001.0,1925.0,1940.0,1970.0,1940.0,2033.0,2064.0,2164.0,2064.0,2048.0,2172.0,2172.0,2148.0,2156.0,2130.0,2148.0,2072.0,2122.0,2130.0,2138.0,2072.0,2122.0,2232.0,2216.0,2206.0,2216.0,2312.0,2294.0,2312.0,2312.0,2250.0
mean,0.2,2224.0,0.9813701923076923,17.090929481367112,8.3046875,18.1875,864.0,930.5,725.0,504.0,670.5,379.0,426.0,500.0,436.25,683.5,736.0,920.0,1118.0,1252.0,927.0,927.0,1097.0,1453.0,1172.0,1517.0,2376.0,1787.0,1505.0,1328.0,1571.0,1493.0,1608.0,1712.0,1766.0,1534.0,1940.0,2048.0,2114.0,2242.0,2216.0,2442.0,2640.0,2396.0,2250.0,2304.0,2268.0,2072.0,2164.0,2206.0,2009.0,2090.0,2148.0,2017.0,2098.0,2414.0,2600.0,2590.0,2500.0,2610.0,2376.0,2480.0,2462.0,2268.0,2294.0,2682.0,2946.0,2778.0,2672.0,2600.0,2834.0,2672.0,2630.0,2620.0,2610.0,2590.0,2530.0,2348.0,2312.0,2368.0,2550.0,2386.0,2452.0,2530.0,2358.0,2250.0,2258.0,2250.0,2130.0,2130.0,2138.0,2180.0,2072.0,2064.0,2048.0,2130.0,2156.0,2180.0,2048.0,2122.0,2180.0,2090.0,2001.0,2009.0,2064.0,2041.0,2156.0,2180.0,2258.0,2156.0,2138.0,2268.0,2268.0,2232.0,2224.0,2190.0,2198.0,2114.0,2156.0,2172.0,2198.0,2130.0,2148.0,2268.0,2232.0,2232.0,2224.0,2322.0,2294.0,2294.0,2286.0,2224.0
mean,0.5,2530.0,0.9993990384615384,17.306832822410378,13.5390625,51.0,1034.0,733.5,591.5,383.5,613.0,361.75,379.0,466.25,444.75,675.5,739.0,941.5,1038.0,1034.0,805.5,902.0,1084.0,1282.0,1026.0,1323.0,2017.0,1517.0,1302.0,1123.0,1419.0,1292.0,1458.0,1565.0,1559.0,1375.0,1739.0,1917.0,1917.0,2048.0,2001.0,2206.0,2348.0,2156.0,2017.0,2090.0,2017.0,1851.0,1978.0,2025.0,1858.0,2025.0,2098.0,1970.0,2098.0,2276.0,2386.0,2322.0,2242.0,2396.0,2172.0,2340.0,2304.0,2164.0,2190.0,2580.0,2756.0,2768.0,2620.0,2540.0,2866.0,2652.0,2620.0,2662.0,2682.0,2724.0,2768.0,2570.0,2520.0,2580.0,2844.0,2610.0,2724.0,2856.0,2652.0,2510.0,2500.0,2520.0,2396.0,2432.0,2442.0,2530.0,2404.0,2414.0,2358.0,2424.0,2452.0,2490.0,2312.0,2404.0,2414.0,2294.0,2190.0,2206.0,2258.0,2224.0,2340.0,2376.0,2472.0,2340.0,2330.0,2500.0,2500.0,2462.0,2510.0,2490.0,2510.0,2414.0,2452.0,2452.0,2480.0,2424.0,2442.0,2590.0,2540.0,2510.0,2500.0,2600.0,2570.0,2570.0,2620.0,2540.0
mean,1.0,23264.0,1.0,23.14732322277301,inf,inf,inf,62272.0,24768.0,8040.0,13256.0,4992.0,4172.0,5356.0,3858.0,5568.0,6772.0,8488.0,8296.0,7376.0,5568.0,6412.0,8424.0,12072.0,8488.0,11424.0,17696.0,12648.0,9848.0,8696.0,11336.0,10240.0,11696.0,12072.0,12952.0,10488.0,15256.0,19440.0,19280.0,21024.0,18256.0,20368.0,22192.0,18848.0,17840.0,17840.0,17696.0,15256.0,15992.0,16752.0,14672.0,17152.0,18400.0,16752.0,17840.0,20528.0,19440.0,19744.0,19744.0,22544.0,19440.0,21520.0,20208.0,18400.0,18112.0,21520.0,23824.0,23088.0,21024.0,20368.0,23632.0,20688.0,19904.0,20848.0,21184.0,20368.0,21520.0,19744.0,19136.0,20528.0,22544.0,20688.0,21520.0,23824.0,21680.0,19440.0,19904.0,19744.0,18400.0,18688.0,19136.0,19904.0,18256.0,18688.0,18400.0,19280.0,20368.0,20048.0,18400.0,18992.0,19440.0,18112.0,16896.0,17424.0,17984.0,17424.0,18256.0,19136.0,20208.0,18688.0,18992.0,21024.0,21024.0,20848.0,21520.0,21680.0,21856.0,20528.0,21024.0,21024.0,21680.0,20688.0,21344.0,22544.0,21344.0,21680.0,21680.0,23088.0,22720.0,23264.0,24384.0,23264.0
centroid,0.01,1436.0,0.014423076923076924,15.094922544866227,5.60546875,14.984375,335.75,264.5,241.875,184.75,268.75,187.625,200.5,250.5,230.75,352.0,411.5,538.5,564.5,632.0,494.25,558.0,644.5,686.5,536.5,691.5,1101.0,857.5,762.5,713.5,881.0,821.5,881.0,968.0,987.0,871.0,1055.0,1042.0,1067.0,1149.0,1118.0,1233.0,1370.0,1252.0,1209.0,1252.0,1277.0,1186.0,1272.0,1318.0,1195.0,1267.0,1292.0,1200.0,1287.0,1476.0,1646.0,1602.0,1547.0,1505.0,1408.0,1408.0,1386.0,1292.0,1318.0,1534.0,1627.0,1577.0,1528.0,1464.0,1534.0,1453.0,1425.0,1436.0,1476.0,1499.0,1481.0,1397.0,1375.0,1381.0,1499.0,1408.0,1458.0,1511.0,1414.0,1333.0,1312.0,1312.0,1262.0,1292.0,1267.0,1272.0,1219.0,1233.0,1209.0,1257.0,1277.0,1307.0,1223.0,1262.0,1272.0,1214.0,1172.0,1186.0,1228.0,1209.0,1282.0,1287.0,1344.0,1292.0,1287.0,1328.0,1297.0,1292.0,1323.0,1328.0,1338.0,1292.0,1338.0,1354.0,1375.0,1344.0,1386.0,1447.0,1436.0,1425.0,1436.0,1464.0,1430.0,1436.0,1458.0,1430.0
centroid,0.02,1553.0,0.07091346153846154,15.527197505365004,5.7109375,14.78125,310.5,264.5,252.5,189.875,268.75,189.875,206.875,258.5,237.125,363.0,429.5,558.0,608.0,678.5,534.5,598.5,689.0,759.5,594.0,762.5,1195.0,920.0,805.5,751.0,934.5,861.0,912.5,975.5,1002.5,888.0,1080.0,1067.0,1110.0,1209.0,1158.0,1257.0,1381.0,1257.0,1209.0,1252.0,1282.0,1200.0,1287.0,1338.0,1219.0,1282.0,1318.0,1223.0,1307.0,1499.0,1666.0,1627.0,1577.0,1540.0,1441.0,1458.0,1430.0,1328.0,1359.0,1577.0,1672.0,1627.0,1571.0,1505.0,1583.0,1505.0,1476.0,1481.0,1517.0,1528.0,1511.0,1425.0,1403.0,1419.0,1547.0,1453.0,1505.0,1559.0,1464.0,1392.0,1381.0,1375.0,1318.0,1338.0,1312.0,1323.0,1267.0,1287.0,1257.0,1312.0,1338.0,1365.0,1277.0,1323.0,1338.0,1282.0,1238.0,1257.0,1292.0,1272.0,1349.0,1370.0,1430.0,1370.0,1359.0,1414.0,1392.0,1381.0,1419.0,1414.0,1425.0,1370.0,1425.0,1441.0,1464.0,1436.0,1476.0,1553.0,1553.0,1540.0,1547.0,1589.0,1553.0,1553.0,1577.0,1540.0
centroid,0.05,1698.0,0.6063701923076923,16.156652880043197,5.5703125,16.203125,318.0,276.25,278.25,202.125,294.0,206.875,223.625,270.75,252.5,373.0,432.75,564.5,620.0,700.0,555.5,613.0,705.5,818.0,649.5,857.5,1333.0,1002.5,884.5,831.0,1022.0,956.5,1010.5,1067.0,1088.0,960.0,1177.0,1195.0,1257.0,1381.0,1297.0,1425.0,1571.0,1436.0,1365.0,1408.0,1430.0,1328.0,1414.0,1470.0,1344.0,1414.0,1447.0,1338.0,1441.0,1653.0,1822.0,1773.0,1725.0,1666.0,1559.0,1577.0,1553.0,1430.0,1458.0,1692.0,1829.0,1759.0,1685.0,1627.0,1692.0,1602.0,1583.0,1577.0,1596.0,1608.0,1608.0,1517.0,1493.0,1523.0,1659.0,1559.0,1621.0,1685.0,1589.0,1523.0,1534.0,1523.0,1464.0,1493.0,1481.0,1499.0,1436.0,1470.0,1441.0,1505.0,1547.0,1577.0,1481.0,1523.0,1559.0,1476.0,1419.0,1425.0,1464.0,1436.0,1517.0,1559.0,1633.0,1547.0,1559.0,1621.0,1596.0,1583.0,1614.0,1608.0,1621.0,1559.0,1596.0,1608.0,1627.0,1583.0,1627.0,1698.0,1719.0,1698.0,1698.0,1759.0,1732.0,1725.0,1746.0,1698.0
centroid,0.1,2250.0,0.9158653846153846,16.62659861249482,6.203125,12.2265625,414.5,713.5,639.5,403.5,627.5,382.0,392.5,468.0,434.5,675.5,725.0,979.0,1167.0,1397.0,1046.0,1084.0,1243.0,1596.0,1272.0,1602.0,2620.0,1955.0,1705.0,1505.0,1801.0,1679.0,1815.0,1940.0,2017.0,1732.0,2180.0,2286.0,2386.0,2472.0,2294.0,2462.0,2640.0,2424.0,2276.0,2340.0,2294.0,2082.0,2206.0,2268.0,2064.0,2172.0,2198.0,2048.0,2156.0,2404.0,2580.0,2520.0,2452.0,2570.0,2348.0,2424.0,2404.0,2206.0,2258.0,2682.0,2946.0,2812.0,2694.0,2580.0,2768.0,2570.0,2560.0,2580.0,2630.0,2672.0,2652.0,2480.0,2424.0,2442.0,2620.0,2462.0,2510.0,2600.0,2404.0,2276.0,2258.0,2250.0,2148.0,2156.0,2172.0,2206.0,2106.0,2114.0,2048.0,2114.0,2148.0,2164.0,2033.0,2072.0,2098.0,2001.0,1925.0,1940.0,1970.0,1940.0,2033.0,2064.0,2164.0,2064.0,2048.0,2172.0,2172.0,2148.0,2156.0,2130.0,2148.0,2072.0,2122.0,2130.0,2138.0,2072.0,2122.0,2232.0,2216.0,2206.0,2216.0,2312.0,2294.0,2312.0,2312.0,2250.0
centroid,0.2,2224.0,0.9813701923076923,17.09490811144497,8.3046875,18.1875,864.0,930.5,725.0,504.0,670.5,379.0,426.0,500.0,436.25,683.5,736.0,920.0,1118.0,1252.0,927.0,927.0,1097.0,1453.0,1172.0,1517.0,2376.0,1787.0,1505.0,1328.0,1571.0,1493.0,1608.0,1712.0,1766.0,1534.0,1940.0,2048.0,2114.0,2242.0,2216.0,2442.0,2640.0,2396.0,2250.0,2304.0,2268.0,2072.0,2164.0,2206.0,2009.0,2090.0,2148.0,2017.0,2098.0,2414.0,2600.0,2590.0,2500.0,2610.0,2376.0,2480.0,2462.0,2268.0,2294.0,2682.0,2946.0,2778.0,2672.0,2600.0,2834.0,2672.0,2630.0,2620.0,2610.0,2590.0,2530.0,2348.0,2312.0,2368.0,2550.0,2386.0,2452.0,2530.0,2358.0,2250.0,2258.0,2250.0,2130.0,2130.0,2138.0,2180.0,2072.0,2064.0,2048.0,2130.0,2156.0,2180.0,2048.0,2122.0,2180.0,2090.0,2001.0,2009.0,2064.0,2041.0,2156.0,2180.0,2258.0,2156.0,2138.0,2268.0,2268.0,2232.0,2224.0,2190.0,2198.0,2114.0,2156.0,2172.0,2198.0,2130.0,2148.0,2268.0,2232.0,2232.0,2224.0,2322.0,2294.0,2294.0,2286.0,2224.0
centroid,0.5,2530.0,0.9993990384615384,17.05721576134766,13.5390625,51.0,1034.0,733.5,591.5,383.5,613.0,361.75,379.0,466.25,444.75,675.5,739.0,941.5,1038.0,1034.0,805.5,902.0,1084.0,1282.0,1026.0,1323.0,2017.0,1517.0,1302.0,1123.0,1419.0,1292.0,1458.0,1565.0,1559.0,1375.0,1739.0,1917.0,1917.0,2048.0,2001.0,2206.0,2348.0,2156.0,2017.0,2090.0,2017.0,1851.0,1978.0,2025.0,1858.0,2025.0,2098.0,1970.0,2098.0,2276.0,2386.0,2322.0,2242.0,2396.0,2172.0,2340.0,2304.0,2164.0,2190.0,2580.0,2756.0,2768.0,2620.0,2540.0,2866.0,2652.0,2620.0,2662.0,2682.0,2724.0,2768.0,2570.0,2520.0,2580.0,2844.0,2610.0,2724.0,2856.0,2652.0,2510.0,2500.0,2520.0,2396.0,2432.0,2442.0,2530.0,2404.0,2414.0,2358.0,2424.0,2452.0,2490.0,2312.0,2404.0,2414.0,2294.0,2190.0,2206.0,2258.0,2224.0,2340.0,2376.0,2472.0,2340.0,2330.0,2500.0,2500.0,2462.0,2510.0,2490.0,2510.0,2414.0,2452.0,2452.0,2480.0,2424.0,2442.0,2590.0,2540.0,2510.0,2500.0,2600.0,2570.0,2570.0,2620.0,2540.0
centroid,1.0,23264.0,1.0,23.142722059033844,inf,inf,inf,62272.0,24768.0,8040.0,13256.0,4992.0,4172.0,5356.0,3858.0,5568.0,6772.0,8488.0,8296.0,7376.0,5568.0,6412.0,8424.0,12072.0,8488.0,11424.0,17696.0,12648.0,9848.0,8696.0,11336.0,10240.0,11696.0,12072.0,12952.0,10488.0,15256.0,19440.0,19280.0,21024.0,18256.0,20368.0,22192.0,18848.0,17840.0,17840.0,17696.0,15256.0,15992.0,16752.0,14672.0,17152.0,18400.0,16752.0,17840.0,20528.0,19440.0,19744.0,19744.0,22544.0,19440.0,21520.0,20208.0,18400.0,18112.0,21520.0,23824.0,23088.0,21024.0,20368.0,23632.0,20688.0,19904.0,20848.0,21184.0,20368.0,21520.0,19744.0,19136.0,20528.0,22544.0,20688.0,21520.0,23824.0,21680.0,19440.0,19904.0,19744.0,18400.0,18688.0,19136.0,19904.0,18256.0,18688.0,18400.0,19280.0,20368.0,20048.0,18400.0,18992.0,19440.0,18112.0,16896.0,17424.0,17984.0,17424.0,18256.0,19136.0,20208.0,18688.0,18992.0,21024.0,21024.0,20848.0,21520.0,21680.0,21856.0,20528.0,21024.0,21024.0,21680.0,20688.0,21344.0,22544.0,21344.0,21680.0,21680.0,23088.0,22720.0,23264.0,24384.0,23264.0
